 #log(age)  Mini          Mact        logl      logt     logg      frac(XC_XO)  Phase 
   5.50    0.09000000     0.0900     -1.0430      3.4483      3.1800      0.4087   0.0000
   5.50    0.09908360     0.0990     -0.9780      3.4525      3.1740      0.4087   0.0000
   5.50    0.10744400     0.1070     -0.9260      3.4561      3.1710      0.4087   0.0000
   5.50    0.11952300     0.1190     -0.8560      3.4612      3.1680      0.4087   0.0000
   5.50    0.12091298     0.1210     -0.8480      3.4618      3.1680      0.4087   0.0000
   5.50    0.13162893     0.1320     -0.7910      3.4660      3.1640      0.4087   0.0000
   5.50    0.14000000     0.1400     -0.7570      3.4694      3.1710      0.4087   0.0000
   5.50    0.15276581     0.1530     -0.6880      3.4746      3.1600      0.4087   0.0000
   5.50    0.16000000     0.1600     -0.6560      3.4775      3.1600      0.4087   0.0000
   5.50    0.17739603     0.1770     -0.5790      3.4856      3.1600      0.4087   0.0000
   5.50    0.19999999     0.2000     -0.4990      3.4952      3.1710      0.4087   0.0000
   5.50    0.25000000     0.2500     -0.3030      3.5182      3.1630      0.4087   0.0000
   5.50    0.30000001     0.3000     -0.1200      3.5397      3.1450      0.4087   0.0000
   5.50    0.32311505     0.3230     -0.0470      3.5483      3.1400      0.4087   0.0000
   5.50    0.35000002     0.3500      0.0350      3.5578      3.1300      0.4087   0.0000
   5.50    0.39949420     0.3990      0.1610      3.5727      3.1210      0.4087   0.0000
   5.50    0.40000004     0.4000      0.1620      3.5729      3.1210      0.4087   0.0000
   5.50    0.45807353     0.4580      0.2710      3.5869      3.1270      0.4087   0.0000
   5.50    0.47591817     0.4760      0.2960      3.5905      3.1340      0.4087   0.0000
   5.50    0.50000000     0.5000      0.3450      3.5956      3.1270      0.4087   0.0000
   5.50    0.51373768     0.5140      0.3540      3.5977      3.1370      0.4087   0.0000
   5.50    0.52463210     0.5240      0.3640      3.5994      3.1430      0.4087   0.0000
   5.50    0.53666914     0.5360      0.3800      3.6015      3.1450      0.4087   0.0000
   5.50    0.54910904     0.5490      0.4010      3.6041      3.1450      0.4087   0.0000
   5.50    0.55000001     0.5500      0.4020      3.6043      3.1450      0.4087   0.0000
   5.50    0.56070858     0.5600      0.4080      3.6057      3.1530      0.4087   0.0000
   5.50    0.57611740     0.5760      0.4210      3.6078      3.1610      0.4087   0.0000
   5.50    0.59193772     0.5920      0.4380      3.6103      3.1660      0.4087   0.0000
   5.50    0.60000002     0.6000      0.4450      3.6118      3.1700      0.4087   0.0000
   5.50    0.61547756     0.6150      0.4540      3.6136      3.1790      0.4087   0.0000
   5.50    0.63357347     0.6330      0.4710      3.6160      3.1840      0.4087   0.0000
   5.50    0.64999998     0.6500      0.4850      3.6184      3.1920      0.4087   0.0000
   5.50    0.66624498     0.6660      0.4970      3.6201      3.1980      0.4087   0.0000
   5.50    0.68408871     0.6840      0.5110      3.6223      3.2040      0.4087   0.0000
   5.50    0.70000005     0.7000      0.5220      3.6244      3.2110      0.4087   0.0000
   5.50    0.75000000     0.7500      0.5650      3.6349      3.2390      0.4033   0.0000
   5.50    0.77178723     0.7720      0.5810      3.6367      3.2440      0.4033   0.0000
   5.50    0.79953671     0.7990      0.6010      3.6393      3.2490      0.4033   0.0000
   5.50    0.79966426     0.8000      0.6010      3.6393      3.2490      0.4033   0.0000
   5.50    0.83037829     0.8300      0.6230      3.6417      3.2530      0.4033   0.0000
   5.50    0.84932852     0.8490      0.6360      3.6433      3.2570      0.4033   0.0000
   5.50    0.88337570     0.8830      0.6580      3.6458      3.2610      0.4033   0.0000
   5.50    0.89899266     0.8980      0.6680      3.6470      3.2640      0.4033   0.0000
   5.50    0.94424951     0.9440      0.6980      3.6501      3.2670      0.4033   0.0000
   5.50    0.94865698     0.9480      0.7010      3.6504      3.2680      0.4033   0.0000
   5.50    0.96671313     0.9660      0.7120      3.6515      3.2700      0.4033   0.0000
   5.50    0.99832118     0.9980      0.7310      3.6535      3.2720      0.4033   0.0000
   5.50    1.04457748     1.0440      0.7580      3.6563      3.2760      0.4033   0.0000
   5.50    1.04798543     1.0480      0.7590      3.6565      3.2770      0.4033   0.0000
   5.50    1.05744839     1.0570      0.7640      3.6570      3.2780      0.4033   0.0000
   5.50    1.09764969     1.0970      0.7880      3.6592      3.2790      0.4033   0.0000
   5.50    1.13030219     1.1300      0.8040      3.6609      3.2830      0.4033   0.0000
   5.50    1.14731383     1.1470      0.8130      3.6618      3.2830      0.4033   0.0000
   5.50    1.19394720     1.1930      0.8380      3.6640      3.2850      0.4033   0.0000
   5.50    1.19697809     1.1960      0.8400      3.6641      3.2850      0.4033   0.0000
   5.50    1.24664235     1.2460      0.8640      3.6664      3.2880      0.4033   0.0000
   5.50    1.25562561     1.2550      0.8680      3.6668      3.2880      0.4033   0.0000
   5.50    1.29630661     1.2960      0.8880      3.6686      3.2890      0.4033   0.0000
   5.50    1.34597099     1.3460      0.9100      3.6706      3.2910      0.4033   0.0000
   5.50    1.36534810     1.3650      0.9190      3.6713      3.2920      0.4033   0.0000
   5.50    1.39563513     1.3960      0.9330      3.6725      3.2920      0.4033   0.0000
   5.50    1.44529939     1.4450      0.9550      3.6743      3.2920      0.4033   0.0000
