 #log(age)  Mini          Mact        logl      logt     logg      frac(XC_XO)  Phase 
   5.50    0.09000000     0.0900     -0.9470      3.5231      3.3840      0.4086   0.0000
   5.50    0.09320685     0.0930     -0.9110      3.5250      3.3700      0.4086   0.0000
   5.50    0.10000001     0.1000     -0.8410      3.5286      3.3450      0.4086   0.0000
   5.50    0.11357366     0.1140     -0.7450      3.5342      3.3270      0.4086   0.0000
   5.50    0.11999999     0.1200     -0.7040      3.5366      3.3190      0.4086   0.0000
   5.50    0.13818558     0.1380     -0.6030      3.5432      3.3060      0.4086   0.0000
   5.50    0.14000000     0.1400     -0.5940      3.5437      3.3050      0.4086   0.0000
   5.50    0.15054657     0.1500     -0.5360      3.5477      3.2940      0.4086   0.0000
   5.50    0.16000000     0.1600     -0.4720      3.5514      3.2720      0.4086   0.0000
   5.50    0.20000002     0.2000     -0.2890      3.5661      3.2440      0.4086   0.0000
   5.50    0.24132076     0.2410     -0.1130      3.5826      3.2160      0.4086   0.0000
   5.50    0.25000000     0.2500     -0.0800      3.5857      3.2100      0.4086   0.0000
   5.50    0.30000004     0.3000      0.1050      3.6056      3.1850      0.4086   0.0000
   5.50    0.34999999     0.3500      0.2580      3.6232      3.1690      0.4086   0.0000
   5.50    0.35502940     0.3550      0.2700      3.6247      3.1690      0.4086   0.0000
   5.50    0.40000004     0.4000      0.3770      3.6373      3.1640      0.4086   0.0000
   5.50    0.41356543     0.4130      0.4010      3.6403      3.1670      0.4086   0.0000
   5.50    0.46008435     0.4600      0.4730      3.6499      3.1790      0.4086   0.0000
   5.50    0.48590347     0.4860      0.5050      3.6544      3.1890      0.4086   0.0000
   5.50    0.50000000     0.5000      0.5270      3.6567      3.1890      0.4086   0.0000
   5.50    0.50410825     0.5040      0.5260      3.6572      3.1960      0.4086   0.0000
   5.50    0.51204568     0.5120      0.5200      3.6580      3.2120      0.4086   0.0000
   5.50    0.51848072     0.5180      0.5200      3.6587      3.2200      0.4086   0.0000
   5.50    0.52650142     0.5260      0.5280      3.6597      3.2220      0.4086   0.0000
   5.50    0.53515339     0.5350      0.5430      3.6611      3.2200      0.4086   0.0000
   5.50    0.54451394     0.5440      0.5580      3.6629      3.2200      0.4086   0.0000
   5.50    0.55000007     0.5500      0.5610      3.6640      3.2260      0.4086   0.0000
   5.50    0.55252701     0.5520      0.5580      3.6642      3.2310      0.4086   0.0000
   5.50    0.56122261     0.5610      0.5540      3.6650      3.2450      0.4086   0.0000
   5.50    0.57029957     0.5700      0.5620      3.6659      3.2480      0.4086   0.0000
   5.50    0.58015317     0.5800      0.5740      3.6672      3.2480      0.4086   0.0000
   5.50    0.59081572     0.5910      0.5830      3.6689      3.2540      0.4086   0.0000
   5.50    0.60000002     0.6000      0.5860      3.6705      3.2630      0.4086   0.0000
   5.50    0.60800600     0.6080      0.5900      3.6713      3.2690      0.4086   0.0000
   5.50    0.62627006     0.6260      0.6020      3.6733      3.2780      0.4086   0.0000
   5.50    0.64640123     0.6460      0.6130      3.6758      3.2900      0.4086   0.0000
   5.50    0.64999998     0.6500      0.6150      3.6762      3.2930      0.4086   0.0000
   5.50    0.65438938     0.6540      0.6170      3.6766      3.2950      0.4086   0.0000
   5.50    0.67366612     0.6740      0.6310      3.6785      3.3020      0.4086   0.0000
   5.50    0.69477350     0.6950      0.6440      3.6808      3.3110      0.4086   0.0000
   5.50    0.69999999     0.7000      0.6470      3.6814      3.3140      0.4086   0.0000
   5.50    0.70533025     0.7050      0.6500      3.6823      3.3180      0.4081   0.0000
   5.50    0.73522460     0.7350      0.6700      3.6871      3.3340      0.4048   0.0000
   5.50    0.75000000     0.7500      0.6810      3.6895      3.3420      0.4032   0.0000
   5.50    0.76067299     0.7610      0.6880      3.6903      3.3440      0.4032   0.0000
