 #log(age)  Mini          Mact        logl      logt     logg      frac(XC_XO)  Phase 
   5.50    0.09000000     0.0900     -0.9240      3.5348      3.4080      0.4086   0.0000
   5.50    0.09882136     0.0990     -0.8310      3.5397      3.3750      0.4086   0.0000
   5.50    0.10000000     0.1000     -0.8200      3.5403      3.3710      0.4086   0.0000
   5.50    0.11641575     0.1160     -0.6940      3.5472      3.3380      0.4086   0.0000
   5.50    0.12000000     0.1200     -0.6680      3.5486      3.3320      0.4086   0.0000
   5.50    0.14000000     0.1400     -0.5460      3.5558      3.3050      0.4086   0.0000
   5.50    0.15674925     0.1570     -0.4600      3.5614      3.2910      0.4086   0.0000
   5.50    0.16000000     0.1600     -0.4400      3.5625      3.2840      0.4086   0.0000
   5.50    0.20000002     0.2000     -0.2530      3.5769      3.2520      0.4086   0.0000
   5.50    0.25000000     0.2500     -0.0470      3.5971      3.2230      0.4086   0.0000
   5.50    0.30000004     0.3000      0.1400      3.6181      3.2000      0.4086   0.0000
   5.50    0.30377564     0.3040      0.1510      3.6195      3.2000      0.4086   0.0000
   5.50    0.34999999     0.3500      0.2880      3.6357      3.1890      0.4086   0.0000
   5.50    0.40000001     0.4000      0.4000      3.6488      3.1870      0.4086   0.0000
   5.50    0.44745639     0.4470      0.4710      3.6583      3.2030      0.4086   0.0000
   5.50    0.45983452     0.4600      0.4740      3.6603      3.2190      0.4086   0.0000
   5.50    0.47632018     0.4760      0.4800      3.6629      3.2400      0.4086   0.0000
   5.50    0.49016705     0.4900      0.4970      3.6653      3.2440      0.4086   0.0000
   5.50    0.50000000     0.5000      0.5170      3.6670      3.2400      0.4086   0.0000
   5.50    0.50447631     0.5050      0.5120      3.6674      3.2500      0.4086   0.0000
   5.50    0.51100522     0.5110      0.5100      3.6680      3.2610      0.4086   0.0000
   5.50    0.51914644     0.5190      0.5150      3.6688      3.2650      0.4086   0.0000
   5.50    0.52793247     0.5280      0.5270      3.6700      3.2650      0.4086   0.0000
   5.50    0.53744274     0.5370      0.5390      3.6716      3.2670      0.4086   0.0000
   5.50    0.54767072     0.5470      0.5440      3.6735      3.2780      0.4086   0.0000
   5.50    0.55000007     0.5500      0.5450      3.6739      3.2810      0.4086   0.0000
   5.50    0.55509371     0.5550      0.5440      3.6744      3.2870      0.4086   0.0000
   5.50    0.56550044     0.5650      0.5520      3.6754      3.2920      0.4086   0.0000
   5.50    0.57682717     0.5770      0.5620      3.6768      3.2950      0.4086   0.0000
   5.50    0.58911794     0.5890      0.5690      3.6784      3.3050      0.4086   0.0000
   5.50    0.60000002     0.6000      0.5740      3.6801      3.3140      0.4086   0.0000
   5.50    0.60556865     0.6050      0.5780      3.6806      3.3160      0.4086   0.0000
   5.50    0.61888266     0.6190      0.5880      3.6819      3.3210      0.4086   0.0000
   5.50    0.63343900     0.6330      0.5980      3.6835      3.3270      0.4086   0.0000
   5.50    0.64929551     0.6490      0.6080      3.6854      3.3360      0.4086   0.0000
   5.50    0.64999998     0.6500      0.6070      3.6855      3.3380      0.4086   0.0000
   5.50    0.65833300     0.6580      0.6130      3.6863      3.3410      0.4086   0.0000
   5.50    0.68530446     0.6850      0.6330      3.6889      3.3490      0.4086   0.0000
   5.50    0.69999999     0.7000      0.6430      3.6904      3.3540      0.4086   0.0000
   5.50    0.71863556     0.7190      0.6570      3.6934      3.3640      0.4066   0.0000
   5.50    0.73671180     0.7370      0.6690      3.6965      3.3740      0.4045   0.0000
   5.50    0.75000000     0.7500      0.6800      3.6989      3.3810      0.4031   0.0000
   5.50    0.76290560     0.7630      0.6880      3.6998      3.3840      0.4031   0.0000
   5.50    0.78955638     0.7890      0.7060      3.7019      3.3890      0.4031   0.0000
   5.50    0.80000001     0.8000      0.7120      3.7028      3.3920      0.4031   0.0000
   5.50    0.82564712     0.8250      0.7280      3.7045      3.3960      0.4031   0.0000
   5.50    0.85000002     0.8500      0.7450      3.7062      3.4000      0.4031   0.0000
   5.50    0.86564827     0.8650      0.7540      3.7072      3.4020      0.4031   0.0000
   5.50    0.89999998     0.8990      0.7760      3.7093      3.4060      0.4031   0.0000
   5.50    0.91693962     0.9160      0.7850      3.7103      3.4090      0.4031   0.0000
   5.50    0.94999999     0.9500      0.8050      3.7123      3.4120      0.4031   0.0000
   5.50    0.97019213     0.9700      0.8160      3.7133      3.4140      0.4031   0.0000
   5.50    1.00000000     1.0000      0.8340      3.7148      3.4150      0.4031   0.0000
   5.50    1.02611637     1.0260      0.8470      3.7161      3.4190      0.4031   0.0000
   5.50    1.04999995     1.0500      0.8600      3.7173      3.4200      0.4031   0.0000
   5.50    1.08372748     1.0830      0.8760      3.7188      3.4230      0.4031   0.0000
   5.50    1.10000002     1.0990      0.8850      3.7195      3.4230      0.4031   0.0000
   5.50    1.14999998     1.1490      0.9120      3.7215      3.4240      0.4031   0.0000
   5.50    1.18508101     1.1850      0.9280      3.7228      3.4270      0.4031   0.0000
   5.50    1.20000005     1.2000      0.9360      3.7233      3.4260      0.4031   0.0000
   5.50    1.23734522     1.2370      0.9520      3.7247      3.4290      0.4031   0.0000
   5.50    1.25000000     1.2500      0.9580      3.7251      3.4290      0.4031   0.0000
   5.50    1.29999995     1.3000      0.9820      3.7267      3.4290      0.4031   0.0000
   5.50    1.34166598     1.3420      1.0000      3.7280      3.4300      0.4031   0.0000
   5.50    1.35000002     1.3500      1.0030      3.7282      3.4300      0.4031   0.0000
   5.50    1.37370813     1.3740      1.0130      3.7289      3.4310      0.4031   0.0000
   5.50    1.39999998     1.4000      1.0250      3.7296      3.4290      0.4031   0.0000
   5.50    1.45000005     1.4500      1.0450      3.7310      3.4300      0.4031   0.0000
   5.50    1.47138631     1.4720      1.0530      3.7315      3.4310      0.4031   0.0000
   5.50    1.50000000     1.5000      1.0640      3.7323      3.4310      0.4031   0.0000
   5.50    1.54999995     1.5500      1.0840      3.7334      3.4300      0.4031   0.0000
