 #log(age)  Mini          Mact        logl      logt     logg      frac(XC_XO)  Phase 
   5.50    0.09000000     0.0900     -0.9770      3.5046      3.3400      0.4088   0.0000
   5.50    0.09098847     0.0910     -0.9700      3.5051      3.3390      0.4088   0.0000
   5.50    0.09969858     0.1000     -0.9100      3.5089      3.3340      0.4088   0.0000
   5.50    0.11695722     0.1170     -0.7830      3.5168      3.3080      0.4088   0.0000
   5.50    0.11909574     0.1190     -0.7730      3.5175      3.3090      0.4088   0.0000
   5.50    0.12388615     0.1240     -0.7400      3.5197      3.3010      0.4088   0.0000
   5.50    0.13849290     0.1380     -0.6410      3.5259      3.2750      0.4088   0.0000
   5.50    0.15514469     0.1550     -0.5470      3.5324      3.2570      0.4088   0.0000
   5.50    0.15789007     0.1580     -0.5310      3.5334      3.2530      0.4088   0.0000
   5.50    0.18972000     0.1890     -0.3840      3.5458      3.2350      0.4088   0.0000
   5.50    0.19668436     0.1960     -0.3580      3.5482      3.2340      0.4088   0.0000
   5.50    0.21268706     0.2120     -0.2880      3.5548      3.2240      0.4088   0.0000
   5.50    0.24517728     0.2450     -0.1510      3.5672      3.1990      0.4088   0.0000
   5.50    0.29367021     0.2930      0.0260      3.5856      3.1730      0.4088   0.0000
   5.50    0.30117041     0.3010      0.0500      3.5883      3.1710      0.4088   0.0000
   5.50    0.34216306     0.3420      0.1770      3.6026      3.1570      0.4088   0.0000
   5.50    0.39065593     0.3900      0.3070      3.6172      3.1440      0.4088   0.0000
   5.50    0.43914890     0.4380      0.4060      3.6292      3.1420      0.4088   0.0000
   5.50    0.45922467     0.4590      0.4340      3.6333      3.1500      0.4088   0.0000
   5.50    0.48764175     0.4870      0.4800      3.6388      3.1530      0.4088   0.0000
   5.50    0.49831682     0.4980      0.4920      3.6405      3.1570      0.4088   0.0000
   5.50    0.51187336     0.5110      0.5050      3.6425      3.1630      0.4088   0.0000
   5.50    0.52310967     0.5220      0.5190      3.6443      3.1670      0.4088   0.0000
   5.50    0.53613472     0.5350      0.5370      3.6466      3.1690      0.4088   0.0000
   5.50    0.54033905     0.5400      0.5380      3.6471      3.1720      0.4088   0.0000
   5.50    0.55030286     0.5500      0.5420      3.6483      3.1810      0.4088   0.0000
   5.50    0.56108320     0.5600      0.5510      3.6497      3.1860      0.4088   0.0000
   5.50    0.57278383     0.5720      0.5640      3.6514      3.1890      0.4088   0.0000
   5.50    0.58462757     0.5840      0.5740      3.6534      3.1970      0.4088   0.0000
   5.50    0.59521198     0.5950      0.5730      3.6544      3.2090      0.4088   0.0000
   5.50    0.60718238     0.6070      0.5830      3.6558      3.2130      0.4088   0.0000
   5.50    0.62002790     0.6190      0.5950      3.6575      3.2170      0.4088   0.0000
   5.50    0.63312042     0.6330      0.6020      3.6595      3.2270      0.4088   0.0000
   5.50    0.63768345     0.6370      0.6040      3.6600      3.2300      0.4088   0.0000
   5.50    0.65715063     0.6570      0.6150      3.6621      3.2400      0.4088   0.0000
   5.50    0.67814076     0.6780      0.6270      3.6646      3.2530      0.4088   0.0000
   5.50    0.68161339     0.6810      0.6280      3.6651      3.2560      0.4088   0.0000
   5.50    0.68848372     0.6880      0.6320      3.6661      3.2600      0.4082   0.0000
   5.50    0.73073781     0.7300      0.6620      3.6722      3.2800      0.4046   0.0000
   5.50    0.75424713     0.7540      0.6750      3.6748      3.2910      0.4041   0.0000
   5.50    0.77986228     0.7790      0.6890      3.6777      3.3030      0.4036   0.0000
   5.50    0.78178984     0.7810      0.6900      3.6779      3.3040      0.4035   0.0000
   5.50    0.80563521     0.8050      0.7060      3.6798      3.3090      0.4035   0.0000
   5.50    0.82898676     0.8280      0.7210      3.6818      3.3140      0.4034   0.0000
   5.50    0.84502691     0.8440      0.7300      3.6830      3.3190      0.4034   0.0000
   5.50    0.87811118     0.8770      0.7490      3.6855      3.3260      0.4034   0.0000
   5.50    0.89597708     0.8950      0.7590      3.6867      3.3290      0.4034   0.0000
   5.50    0.92723566     0.9260      0.7780      3.6889      3.3340      0.4034   0.0000
   5.50    0.93023074     0.9290      0.7800      3.6891      3.3350      0.4034   0.0000
   5.50    0.97322214     0.9720      0.8040      3.6918      3.3420      0.4034   0.0000
   5.50    0.97636008     0.9760      0.8060      3.6920      3.3420      0.4034   0.0000
   5.50    1.02464283     1.0240      0.8320      3.6949      3.3470      0.4034   0.0000
   5.50    1.02548444     1.0250      0.8330      3.6950      3.3470      0.4034   0.0000
   5.50    1.03927171     1.0380      0.8400      3.6957      3.3490      0.4034   0.0000
   5.50    1.07460904     1.0730      0.8600      3.6976      3.3510      0.4034   0.0000
   5.50    1.11154103     1.1100      0.8780      3.6995      3.3550      0.4034   0.0000
   5.50    1.12373340     1.1220      0.8850      3.7001      3.3560      0.4034   0.0000
   5.50    1.14780128     1.1460      0.8950      3.7013      3.3590      0.4034   0.0000
   5.50    1.17285800     1.1720      0.9080      3.7025      3.3600      0.4034   0.0000
   5.50    1.20681059     1.2060      0.9240      3.7040      3.3630      0.4034   0.0000
   5.50    1.22198236     1.2210      0.9320      3.7047      3.3640      0.4034   0.0000
   5.50    1.24136543     1.2400      0.9400      3.7055      3.3650      0.4034   0.0000
   5.50    1.27110672     1.2700      0.9550      3.7067      3.3660      0.4034   0.0000
   5.50    1.32023144     1.3200      0.9760      3.7087      3.3690      0.4034   0.0000
   5.50    1.32595468     1.3250      0.9780      3.7089      3.3700      0.4034   0.0000
   5.50    1.36935580     1.3690      0.9970      3.7105      3.3710      0.4034   0.0000
   5.50    1.41848016     1.4180      1.0170      3.7122      3.3730      0.4034   0.0000
   5.50    1.42764616     1.4270      1.0210      3.7125      3.3740      0.4034   0.0000
   5.50    1.46760464     1.4670      1.0380      3.7138      3.3740      0.4034   0.0000
   5.50    1.51672912     1.5160      1.0570      3.7153      3.3750      0.4034   0.0000
   5.50    1.56585348     1.5650      1.0760      3.7168      3.3760      0.4034   0.0000
   5.50    1.59322417     1.5920      1.0850      3.7175      3.3770      0.4034   0.0000
   5.50    1.61497784     1.6140      1.0930      3.7181      3.3770      0.4034   0.0000
   5.50    1.66410232     1.6630      1.1110      3.7195      3.3770      0.4034   0.0000
   5.50    1.69570088     1.6940      1.1210      3.7203      3.3790      0.4034   0.0000
   5.50    1.71322680     1.7120      1.1290      3.7207      3.3770      0.4034   0.0000
   5.50    1.76171553     1.7600      1.1450      3.7219      3.3780      0.4034   0.0000
   5.50    1.77527106     1.7730      1.1490      3.7222      3.3780      0.4034   0.0000
   5.50    1.81020439     1.8080      1.1610      3.7230      3.3780      0.4034   0.0000
   5.50    1.82388723     1.8220      1.1660      3.7233      3.3780      0.4034   0.0000
   5.50    1.85869312     1.8570      1.1770      3.7241      3.3780      0.4034   0.0000
   5.50    1.86985469     1.8680      1.1800      3.7243      3.3780      0.4034   0.0000
   5.50    1.90718198     1.9060      1.1930      3.7251      3.3780      0.4034   0.0000
   5.50    1.94463038     1.9430      1.2030      3.7260      3.3790      0.4034   0.0000
   5.50    1.95567060     1.9540      1.2070      3.7262      3.3790      0.4034   0.0000
   5.50    2.00415945     2.0030      1.2240      3.7271      3.3760      0.4034   0.0000
   5.50    2.05264807     2.0510      1.2380      3.7280      3.3760      0.4034   0.0000
   5.50    2.06284547     2.0610      1.2410      3.7282      3.3760      0.4034   0.0000
   5.50    2.10113716     2.0990      1.2530      3.7289      3.3740      0.4034   0.0000
   5.50    2.13518000     2.1330      1.2620      3.7296      3.3760      0.4034   0.0000
   5.50    2.14962578     2.1470      1.2660      3.7299      3.3750      0.4034   0.0000
   5.50    2.19811440     2.1960      1.2830      3.7307      3.3710      0.4034   0.0000
   5.50    2.24660325     2.2440      1.2950      3.7315      3.3720      0.4034   0.0000
   5.50    2.25251746     2.2500      1.2970      3.7316      3.3720      0.4034   0.0000
   5.50    2.29509211     2.2930      1.3100      3.7323      3.3690      0.4034   0.0000
   5.50    2.34358096     2.3410      1.3260      3.7331      3.3660      0.4034   0.0000
   5.50    2.45723391     2.4550      1.3410      3.7358      3.3830      0.4031   0.0000
   5.50    2.53753591     2.5350      1.3590      3.7376      3.3850      0.4032   0.0000
   5.50    2.64968729     2.6480      1.3930      3.7394      3.3770      0.4032   0.0000
   5.50    2.73149109     2.7300      1.4190      3.7407      3.3700      0.4032   0.0000
   5.50    2.77720022     2.7760      1.4330      3.7414      3.3660      0.4032   0.0000
   5.50    2.92544603     2.9240      1.4870      3.7439      3.3440      0.4032   0.0000
   5.50    3.11940122     3.1170      1.5600      3.7473      3.3130      0.4032   0.0000
   5.50    3.18610096     3.1830      1.5840      3.7486      3.3030      0.4032   0.0000
   5.50    3.22069263     3.2180      1.5980      3.7493      3.2960      0.4032   0.0000
   5.50    3.31335640     3.3100      1.6510      3.7516      3.2650      0.4032   0.0000
   5.50    3.44297171     3.4390      1.7260      3.7550      3.2200      0.4032   0.0000
