#Table: J/A+A/393/167/table12.dat (http://cdsarc.cds.unistra.fr)
-------------------------------------------------
  |  |      |        | V|    |     |   |    |
 B|XB|      |        |Ty|    |    P|del|   (|   (
in|in|Name  |Date    |pe| C/O|eriod|taV|I-K)|R-H)
--|--|------|--------|--|----|-----|---|----|----
O1|  |T Cen |Jul.1996|Sa|    | 90.4|3.5|1.86|
O1|  |T Cen |Jan.1996|Sa|    | 90.4|3.5|1.90|
O1|  |BD Hya|Jul.1996|Sa|    |117.4|1.8|1.90|
O1|  |S Car |Jun.1995|M |    |149.5|5.4|1.90|
O1|  |S Car |Dec.1995|M |    |149.5|5.4|1.98|
O1|  |T Cen |Mar.1996|Sa|    | 90.4|3.5|2.01|
O1|  |RS Hor|Mar.1996|M |    |202.9|5.2|2.19|
O2|  |S Lib |May.1996|M |    |192.9|5.5|2.26|
O2|  |S Lib |Jun.1995|M |    |192.9|5.5|2.29|
O2|  |S Car |May.1996|M |    |149.5|5.4|2.32|
O2|  |T Cen |May.1996|Sa|    | 90.4|3.5|2.36|
O2|  |U Crt |Jan.1996|M |    |169. |4. |2.45|
O2|  |BD Hya|May.1996|Sa|    |117.4|1.8|2.53|
O2|  |BD Hya|Jan.1996|Sa|    |117.4|1.8|2.61|
O3|  |S Car |Jan.1996|M |    |149.5|5.4|2.71|
O3|  |R Phe |May.1996|M |    |269.3|6.9|2.72|
O3|  |S Car |Jul.1996|M |    |149.5|5.4|2.73|
O3|  |S Phe |Dec.1995|Sb|    |141. |2. |2.75|
O3|  |UZ Hya|Jan.1996|M |    |261. |5.7|2.78|
O3|  |UZ Hya|Mar.1996|M |    |261. |5.7|2.82|
O3|  |R Phe |Jul.1996|M |    |269.3|6.9|2.83|
O4|  |U Crt |May.1996|M |    |169. |4. |2.93|
O4|  |KV Car|May.1996|Sb|    |150. |0.8|2.94|
O4|  |RS Hor|Jan.1996|M |    |202.9|5.2|2.98|
O4|  |RS Hya|Jun.1995|M |    |338.6|5.2|3.19|
O4|  |RS Hya|May.1996|M |    |338.6|5.2|3.22|
O4|  |S Phe |Jan.1996|Sb|    |141. |2. |3.24|
O4|  |SY Vel|Mar.1996|Sb|    | 63. |1.3|3.27|
O5|  |KV Car|Jan.1996|Sb|    |150. |0.8|3.31|
O5|  |S Car |Mar.1996|M |    |149.5|5.4|3.38|
O5|  |SY Vel|Jan.1996|Sb|    | 63. |1.3|3.45|
O5|  |S Phe |Jul.1996|Sb|    |141. |2. |3.49|
O5|  |S Phe |May.1996|Sb|    |141. |2. |3.51|
O5|  |RY Cra|Jun.1995|M |    |195. |1.9|3.51|
O5|  |RS Hya|Jul.1996|M |    |338.6|5.2|3.54|
O6|  |RS Lib|May.1996|M |    |217.6|6. |3.63|
