
#based on the relation in Ma et.al 2016:

M_\star       z              number
1.E+5         0.00008        1
5.E+5         0.00016        1
1.E+6         0.0002         1
5.E+6         0.0004         3 
1.E+7         0.0005         4 
5.E+7         0.001          7 
1.E+8         0.0013         8
5.E+8         0.0025         11   
1.E+9         0.003          12
5.E+9         0.006          15
1.E+10        0.008          16
5.E+10        0.016          19
1.E+11        0.02           20
5.E+11        0.025          21
1.E+12        0.03           22
5.E+12        0.03           22
1.E+13        0.03           22
